Label,Month,Year,Natural_Disasters,Close (Rs.)
HDEV.N0000,7,1992,0.0,26.0
HNB.N0000,7,1992,0.0,355.9230769230769
JKH.N0000,7,1992,0.0,254.07894736842104
KAPI.N0000,7,1992,0.0,18.125
LCEM.N0000,7,1992,0.0,6.107142857142857
LMF.N0000,7,1992,0.0,31.488636363636363
NEST.N0000,7,1992,0.0,19.955882352941178
ONAL.N0000,7,1992,0.0,16.958333333333332
PARQ.N0000,7,1992,0.0,0.0
PDL.N0000,7,1992,0.0,17.5
RICH.N0000,7,1992,0.0,215.25
SAMP.N0000,7,1992,0.0,29.431818181818183
SEYB.N0000,7,1992,0.0,67.92045454545455
SHOT.N0000,7,1992,0.0,73.20833333333333
SPEN.N0000,7,1992,0.0,198.27777777777777
SUGA.N0000,7,1992,0.0,27.704545454545453
TILE.N0000,7,1992,0.0,72.5125
TKYO.N0000,7,1992,0.0,24.821428571428573
ACL.N0000,8,1992,0.0,181.7
ARPI.N0000,8,1992,0.0,80.5
ASIR.N0000,8,1992,0.0,14.607142857142858
BHR.N0000,8,1992,0.0,95.8970588235294
BOGA.N0000,8,1992,0.0,9.65
CARG.N0000,8,1992,0.0,162.0
CFIN.N0000,8,1992,0.0,252.5
CFLB.N0000,8,1992,0.0,13.75
CFT.N0000,8,1992,0.0,55.0
CHOU.N0000,8,1992,0.0,15.0
CIC.N0000,8,1992,0.0,128.75
CIND.N0000,8,1992,0.0,87.47222222222223
COMB.N0000,8,1992,0.0,232.96428571428572
CTC.N0000,8,1992,0.0,42.8421052631579
CTCE.N0000,8,1992,0.0,33.25
DFCC.N0000,8,1992,0.0,1582.9
DIPD.N0000,8,1992,0.0,45.0
DIST.N0000,8,1992,0.0,10.416666666666666
EAST.N0000,8,1992,0.0,36.833333333333336
GHLL.N0000,8,1992,0.0,6.029411764705882
GRAN.N0000,8,1992,0.0,88.64285714285714
HAYC.N0000,8,1992,0.0,54.6
HAYL.N0000,8,1992,0.0,411.8181818181818
HDEV.N0000,8,1992,0.0,25.694444444444443
HNB.N0000,8,1992,0.0,373.375
JKH.N0000,8,1992,0.0,226.78947368421052
KAPI.N0000,8,1992,0.0,10.708333333333334
KZOO.N0000,8,1992,0.0,181.125
LCEM.N0000,8,1992,0.0,6.038461538461538
LMF.N0000,8,1992,0.0,31.6875
NEST.N0000,8,1992,0.0,20.272727272727273
OSEA.N0000,8,1992,0.0,16.4375
PARQ.N0000,8,1992,0.0,73.875
PDL.N0000,8,1992,0.0,17.275
RICH.N0000,8,1992,0.0,180.65625
SAMP.N0000,8,1992,0.0,28.0375
SEYB.N0000,8,1992,0.0,60.78947368421053
SHOT.N0000,8,1992,0.0,70.0
SPEN.N0000,8,1992,0.0,157.07142857142858
SUGA.N0000,8,1992,0.0,26.63888888888889
TILE.N0000,8,1992,0.0,69.33333333333333
TKYO.N0000,8,1992,0.0,18.75
ACL.N0000,9,1992,0.0,190.33333333333334
ARPI.N0000,9,1992,0.0,60.416666666666664
ASCO.R0000,9,1992,0.0,0.5
ASIR.N0000,9,1992,0.0,9.714285714285714
BHR.N0000,9,1992,0.0,113.0375
BINN.N0000,9,1992,0.0,35.0
BOGA.N0000,9,1992,0.0,10.4375
CFIN.N0000,9,1992,0.0,295.38235294117646
CFLB.N0000,9,1992,0.0,18.38888888888889
CHOU.N0000,9,1992,0.0,16.208333333333332
CIC.N0000,9,1992,0.0,86.40625
CIND.N0000,9,1992,0.0,92.265625
CINV.N0000,9,1992,0.0,180.0
COMB.N0000,9,1992,0.0,234.5625
CTC.N0000,9,1992,0.0,44.05263157894737
CTCE.N0000,9,1992,0.0,36.25
CTHR.N0000,9,1992,0.0,233.33333333333334
DFCC.N0000,9,1992,0.0,1688.2
DIPD.N0000,9,1992,0.0,76.90625
DIST.N0000,9,1992,0.0,11.4375
EAST.N0000,9,1992,0.0,34.666666666666664
EQIT.N0000,9,1992,0.0,0.0
GHLL.N0000,9,1992,0.0,6.184210526315789
GRAN.N0000,9,1992,0.0,80.3970588235294
HAYC.N0000,9,1992,0.0,87.3076923076923
HAYL.N0000,9,1992,0.0,325.03333333333336
HDEV.N0000,9,1992,0.0,26.21875
HNB.N0000,9,1992,0.0,380.375
JKH.N0000,9,1992,0.0,250.234375
KAPI.N0000,9,1992,0.0,17.4875
KURU.N0000,9,1992,0.0,55.0
LCEM.N0000,9,1992,0.0,4.8
LMF.N0000,9,1992,0.0,33.8625
LPRT.N0000,9,1992,0.0,0.0
NEST.N0000,9,1992,0.0,21.365384615384617
ONAL.N0000,9,1992,0.0,15.85
