Currency,Date,"Buy Rate","Sell Rate"
AUD,2021-11-09,145.3834,151.7163
AUD,2021-11-08,145.0356,151.3618
AUD,2021-11-05,144.9416,151.2652
AUD,2021-11-03,145.8463,152.1886
AUD,2021-11-02,147.7924,154.1738
AUD,2021-11-01,147.4341,153.8089
AUD,2021-10-29,147.8898,154.2761
AUD,2021-10-28,147.0759,153.4447
AUD,2021-10-27,147.7427,154.1224
AUD,2021-10-26,147.2411,153.6107
AUD,2021-10-25,146.7196,153.0788
AUD,2021-10-22,146.9428,153.3072
AUD,2021-10-21,147.9349,154.3214
AUD,2021-10-18,145.5625,151.8995
AUD,2021-10-15,145.5839,151.9185
AUD,2021-10-14,144.7928,151.1131
AUD,2021-10-13,144.0520,150.3590
AUD,2021-10-12,143.9922,150.2984
AUD,2021-10-11,143.8041,150.1053
AUD,2021-10-08,143.6551,149.9533
AUD,2021-10-07,142.9052,149.1883
AUD,2021-10-06,142.7370,149.0154
AUD,2021-10-05,142.6321,148.9096
AUD,2021-10-04,142.4646,148.7362
AUD,2021-10-01,141.7280,147.9878
AUD,2021-09-30,141.1575,147.4046
AUD,2021-09-29,141.8870,148.1498
AUD,2021-09-28,142.7999,149.0828
AUD,2021-09-27,142.9647,149.2491
AUD,2021-09-24,143.2347,149.5210
AUD,2021-09-23,142.0313,148.2965
AUD,2021-09-22,142.4844,148.7564
AUD,2021-09-21,142.5476,148.8235
AUD,2021-09-17,143.0404,149.3246
AUD,2021-09-16,143.9943,150.2970
AUD,2021-09-15,143.5060,149.8014
AUD,2021-09-14,144.4649,150.7789
AUD,2021-09-13,144.4396,150.7538
AUD,2021-09-10,144.5492,150.8650
AUD,2021-09-09,144.4342,150.7492
AUD,2021-09-08,145.1795,151.5089
AUD,2021-09-07,146.1868,152.5381
AUD,2021-09-06,163.9329,171.1499
AUD,2021-09-03,154.3737,161.2148
AUD,2021-09-02,153.9151,160.3038
AUD,2021-09-01,153.3509,160.0956
AUD,2021-08-31,149.5714,156.3814
AUD,2021-08-30,146.6208,153.6210
AUD,2021-08-27,145.4445,152.1289
AUD,2021-08-26,144.9034,151.1308
AUD,2021-08-25,144.4466,150.1463
AUD,2021-08-24,143.7819,149.4666
AUD,2021-08-23,142.4064,148.1661
AUD,2021-08-20,142.1413,147.9028
AUD,2021-08-19,142.0953,148.6895
AUD,2021-08-18,143.0835,148.6426
AUD,2021-08-17,143.7540,149.4752
AUD,2021-08-16,145.3953,149.8568
AUD,2021-08-13,145.0740,149.9422
AUD,2021-08-12,145.5601,150.0239
AUD,2021-08-11,145.1327,149.5813
AUD,2021-08-10,144.6841,149.1226
AUD,2021-08-09,145.3281,149.8225
AUD,2021-08-06,145.9203,150.3941
AUD,2021-08-05,145.9881,150.4806
AUD,2021-08-04,146.3013,150.7794
AUD,2021-08-03,145.5674,150.0368
AUD,2021-08-02,145.0331,149.4836
AUD,2021-07-30,146.1196,150.5980
AUD,2021-07-29,145.7508,150.2186
AUD,2021-07-28,145.5872,150.0452
AUD,2021-07-27,145.0854,150.2378
AUD,2021-07-26,145.2323,149.6960
AUD,2021-07-22,145.1388,149.7151
AUD,2021-07-20,145.3137,149.6175
AUD,2021-07-19,145.6861,150.2746
AUD,2021-07-16,146.7743,151.3971
AUD,2021-07-15,147.3594,151.8689
AUD,2021-07-14,147.2953,151.9502
AUD,2021-07-13,148.0241,152.7055
AUD,2021-07-12,147.1266,151.7521
AUD,2021-07-09,146.4665,151.0781
AUD,2021-07-08,147.3359,151.9812
AUD,2021-07-07,147.8421,152.5163
AUD,2021-07-06,149.2543,153.9484
AUD,2021-07-05,148.4466,153.1422
AUD,2021-07-02,147.3558,151.9975
AUD,2021-07-01,147.8671,152.5147
AUD,2021-06-30,148.4582,153.1367
AUD,2021-06-29,149.1208,153.8436
AUD,2021-06-28,149.7359,154.4474
AUD,2021-06-25,149.8549,154.5810
AUD,2021-06-23,148.7758,153.7245
AUD,2021-06-22,148.3841,153.0624
AUD,2021-06-21,148.1213,152.7782
AUD,2021-06-18,149.0652,153.8535
AUD,2021-06-17,150.6150,155.3488
AUD,2021-06-16,151.7878,156.6487
AUD,2021-06-15,151.9504,156.8112
AUD,2021-06-14,152.0440,156.8091
AUD,2021-06-11,152.9756,157.8688
AUD,2021-06-10,152.5865,157.4691
AUD,2021-06-09,152.7389,157.6279
AUD,2021-06-08,153.0234,157.7534
AUD,2021-06-07,152.7266,157.5138
AUD,2021-06-04,151.3025,155.8980
