Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
CARG.N0000,2017,7,206.5111111111111,4.5,973.5,202574.85,8.75,4.8,151.6362,0
CCS.N0000,2017,7,854.3333333333334,9.0,1206.0,1026505.9,8.75,4.8,151.6362,0
CFIN.N0000,2017,7,89.39,16.0,15304.0,1377712.1,8.75,4.8,151.6362,0
CFLB.N0000,2017,7,21.84,7.5,5901.0,126271.55,8.75,4.8,151.6362,0
CFVF.N0000,2017,7,32.89047619047619,76.0,126367.0,4271880.1,8.75,4.8,151.6362,0
CIC.N0000,2017,7,77.72999999999999,3.0,956.0,73352.0,8.75,4.8,151.6362,0
CIC.X0000,2017,7,56.95,7.5,3003.0,173824.0,8.75,4.8,151.6362,0
CIND.N0000,2017,7,49.24761904761905,21.0,30268.0,1467107.6,8.75,4.8,151.6362,0
CINV.N0000,2017,7,56.57000000000001,29.5,18146.5,1019019.5,8.75,4.8,151.6362,0
COMB.N0000,2017,7,138.4952380952381,44.0,111048.0,15527938.6,8.75,4.8,151.6362,0
CTC.N0000,2017,7,965.7263157894736,5.0,241.0,237051.6,8.75,4.8,151.6362,0
DFCC.N0000,2017,7,127.4095238095238,17.0,6601.0,846890.4,8.75,4.8,151.6362,0
DIPD.N0000,2017,7,112.43809523809524,13.0,4120.0,472623.0,8.75,4.8,151.6362,0
EAST.N0000,2017,7,13.247619047619049,13.0,19493.0,257210.2,8.75,4.8,151.6362,0
GHLL.N0000,2017,7,9.766666666666666,14.0,7380.0,72492.0,8.75,4.8,151.6362,0
GLAS.N0000,2017,7,6.20952380952381,16.0,112859.0,710671.7,8.75,4.8,151.6362,0
GRAN.N0000,2017,7,71.61904761904762,50.0,27920.0,1977974.6,8.75,4.8,151.6362,0
HAYC.N0000,2017,7,167.39,2.5,182.5,30336.25,8.75,4.8,151.6362,0
HAYL.N0000,2017,7,294.46190476190475,9.0,4713.0,1390335.0,8.75,4.8,151.6362,0
HNB.N0000,2017,7,234.22857142857143,24.0,35299.0,8042396.3,8.75,4.8,151.6362,0
JKH.N0000,2017,7,175.5952380952381,59.0,433213.0,77112238.9,8.75,4.8,151.6362,0
LMF.N0000,2017,7,140.06666666666666,5.0,2570.0,364164.0,8.75,4.8,151.6362,0
LWL.N0000,2017,7,109.9952380952381,9.0,5000.0,561250.0,8.75,4.8,151.6362,0
NDB.N0000,2017,7,143.64285714285714,17.0,9427.0,1347848.2,8.75,4.8,151.6362,0
NEST.N0000,2017,7,1993.5428571428567,6.0,127.0,250705.7,8.75,4.8,151.6362,0
ONAL.N0000,2017,7,46.96666666666667,2.0,480.0,22469.0,8.75,4.8,151.6362,0
OSEA.N0000,2017,7,19.45238095238096,10.0,16657.0,325830.9,8.75,4.8,151.6362,0
PALM.N0000,2017,7,33.52777777777778,8.5,2603.5,86363.35,8.75,4.8,151.6362,0
PARQ.N0000,2017,7,78.12105263157895,14.0,22495.0,1727646.0,8.75,4.8,151.6362,0
PDL.N0000,2017,7,90.63076923076925,3.0,250.0,22750.0,8.75,4.8,151.6362,0
RCL.N0000,2017,7,129.53333333333333,13.0,5010.0,646665.5,8.75,4.8,151.6362,0
RICH.N0000,2017,7,12.304761904761904,107.0,678308.0,8822298.4,8.75,4.8,151.6362,0
SAMP.N0000,2017,7,280.85238095238094,43.0,16141.0,4533318.2,8.75,4.8,151.6362,0
SEMB.N0000,2017,7,0.7904761904761906,10.0,247311.0,197849.8,8.75,4.8,151.6362,0
SEYB.N0000,2017,7,93.85263157894737,9.0,11964.0,1136580.0,8.75,4.8,151.6362,0
SHOT.N0000,2017,7,23.78,1.5,300.0,7030.0,8.75,4.8,151.6362,0
SPEN.N0000,2017,7,66.715,13.0,6266.0,409075.4,8.75,4.8,151.6362,0
TILE.N0000,2017,7,113.32857142857142,2.5,166.0,18908.0,8.75,4.8,151.6362,0
TKYO.N0000,2017,7,75.58095238095238,36.0,135870.0,10333879.2,8.75,4.8,151.6362,0
TYRE.N0000,2017,7,56.56666666666667,15.0,6062.0,356462.8,8.75,4.8,151.6362,0
ACL.N0000,2017,8,52.34090909090909,18.0,7421.5,394026.45,8.75,6.0,151.1436,0
