Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
RICH.N0000,1992,3,19.5,0,257.5,9.5,43.07
SAMP.N0000,1992,3,19.5,0,35.70238095238095,9.5,43.07
SEYB.N0000,1992,3,19.5,0,82.83333333333333,9.5,43.07
SHOT.N0000,1992,3,19.5,0,65.0,9.5,43.07
SPEN.N0000,1992,3,19.5,0,281.7857142857143,9.5,43.07
SUGA.N0000,1992,3,19.5,0,36.66666666666666,9.5,43.07
TILE.N0000,1992,3,19.5,0,68.91666666666667,9.5,43.07
TKYO.N0000,1992,3,19.5,0,41.5,9.5,43.07
ARPI.N0000,1992,4,19.5,0,70.0,9.9,43.37
ASIR.N0000,1992,4,19.5,0,24.166666666666668,9.9,43.37
BHR.N0000,1992,4,19.5,0,81.25,9.9,43.37
BRWN.N0000,1992,4,19.5,0,138.75,9.9,43.37
CFIN.N0000,1992,4,19.5,0,309.2708333333333,9.9,43.37
CFLB.N0000,1992,4,19.5,0,11.625,9.9,43.37
CFT.N0000,1992,4,19.5,0,76.0,9.9,43.37
CIC.N0000,1992,4,19.5,0,136.02083333333334,9.9,43.37
CIND.N0000,1992,4,19.5,0,83.6029411764706,9.9,43.37
COMB.N0000,1992,4,19.5,0,266.1875,9.9,43.37
CTC.N0000,1992,4,19.5,0,58.35294117647059,9.9,43.37
CTCE.N0000,1992,4,19.5,0,60.0,9.9,43.37
DFCC.N0000,1992,4,19.5,0,1460.4375,9.9,43.37
DIPD.N0000,1992,4,19.5,0,100.8,9.9,43.37
EAST.N0000,1992,4,19.5,0,37.333333333333336,9.9,43.37
GHLL.N0000,1992,4,19.5,0,7.03125,9.9,43.37
GRAN.N0000,1992,4,19.5,0,188.5,9.9,43.37
HAYC.N0000,1992,4,19.5,0,155.925,9.9,43.37
HAYL.N0000,1992,4,19.5,0,415.0,9.9,43.37
HDEV.N0000,1992,4,19.5,0,29.28846153846154,9.9,43.37
HNB.N0000,1992,4,19.5,0,405.52272727272725,9.9,43.37
JKH.N0000,1992,4,19.5,0,340.2352941176471,9.9,43.37
KAPI.N0000,1992,4,19.5,0,30.2,9.9,43.37
LCEM.N0000,1992,4,19.5,0,6.4,9.9,43.37
LMF.N0000,1992,4,19.5,0,39.95588235294117,9.9,43.37
NEST.N0000,1992,4,19.5,0,25.354166666666668,9.9,43.37
ONAL.N0000,1992,4,19.5,0,14.791666666666666,9.9,43.37
OSEA.N0000,1992,4,19.5,0,20.0,9.9,43.37
PARQ.N0000,1992,4,19.5,0,90.0,9.9,43.37
PDL.N0000,1992,4,19.5,0,18.02777777777778,9.9,43.37
RICH.N0000,1992,4,19.5,0,216.2,9.9,43.37
SAMP.N0000,1992,4,19.5,0,35.85294117647059,9.9,43.37
SEYB.N0000,1992,4,19.5,0,84.6470588235294,9.9,43.37
SHAL.N0000,1992,4,19.5,0,575.0,9.9,43.37
SHOT.N0000,1992,4,19.5,0,75.83333333333333,9.9,43.37
SPEN.N0000,1992,4,19.5,0,326.72727272727275,9.9,43.37
SUGA.N0000,1992,4,19.5,0,38.73529411764706,9.9,43.37
TILE.N0000,1992,4,19.5,0,78.390625,9.9,43.37
TKYO.N0000,1992,4,19.5,0,35.9,9.9,43.37
ACL.N0000,1992,5,19.5,0,167.33333333333334,10.2,43.47
ARPI.N0000,1992,5,19.5,0,70.8,10.2,43.47
ASIR.N0000,1992,5,19.5,0,22.75,10.2,43.47
BHR.N0000,1992,5,19.5,0,85.25,10.2,43.47
BINN.N0000,1992,5,19.5,0,45.0,10.2,43.47
BOGA.N0000,1992,5,19.5,0,11.928571428571429,10.2,43.47
CARG.N0000,1992,5,19.5,0,209.375,10.2,43.47
CFIN.N0000,1992,5,19.5,0,315.0,10.2,43.47
CFLB.N0000,1992,5,19.5,0,20.0,10.2,43.47
CFT.N0000,1992,5,19.5,0,68.5,10.2,43.47
CIC.N0000,1992,5,19.5,0,136.08333333333334,10.2,43.47
CIND.N0000,1992,5,19.5,0,100.0,10.2,43.47
COMB.N0000,1992,5,19.5,0,250.25,10.2,43.47
CTC.N0000,1992,5,19.5,0,60.638888888888886,10.2,43.47
CTCE.N0000,1992,5,19.5,0,51.708333333333336,10.2,43.47
CTHR.N0000,1992,5,19.5,0,210.15,10.2,43.47
DFCC.N0000,1992,5,19.5,0,1686.888888888889,10.2,43.47
DIPD.N0000,1992,5,19.5,0,96.0,10.2,43.47
EAST.N0000,1992,5,19.5,0,37.25,10.2,43.47
GHLL.N0000,1992,5,19.5,0,6.386363636363637,10.2,43.47
GRAN.N0000,1992,5,19.5,0,196.7941176470588,10.2,43.47
HAYC.N0000,1992,5,19.5,0,139.8,10.2,43.47
HAYL.N0000,1992,5,19.5,0,478.9038461538461,10.2,43.47
HDEV.N0000,1992,5,19.5,0,26.944444444444443,10.2,43.47
HNB.N0000,1992,5,19.5,0,397.7142857142857,10.2,43.47
JKH.N0000,1992,5,19.5,0,306.28125,10.2,43.47
KAPI.N0000,1992,5,19.5,0,27.5625,10.2,43.47
LCEM.N0000,1992,5,19.5,0,6.75,10.2,43.47
LDEV.N0000,1992,5,19.5,0,50.0,10.2,43.47
LMF.N0000,1992,5,19.5,0,36.05555555555556,10.2,43.47
