Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.3,7,2680,35679
SERENDIB HOTELS PLC,SHOT.N0000,11.8,8,2564,30797.7
CARSON CUMBERBATCH PLC,CARS.N0000,275,4,110,30751
ACME PRINTING & PACKAGING PLC,ACME.N0000,6.7,8,4644,30386
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,20,7,1465,29448.5
CHRISSWORLD PLC,CWL.N0000,11.5,12,2499,29259.7
THE FORTRESS RESORTS PLC,RHTL.N0000,19,6,1503,28657.4
HNB FINANCE PLC,HNBF.X0000,5.7,7,5032,27696.6
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,182.25,9,151,27519.75
AMBEON HOLDINGS PLC,GREG.N0000,36.6,6,754,27022.4
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,35.8,16,758,26710.2
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,228.5,5,115,25878.5
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,118.25,20,218,24493.5
THE AUTODROME PLC,AUTO.N0000,115,1,200,23000
ASIA CAPITAL PLC,ACAP.N0000,4.1,5,4966,20006.6
TESS AGRO PLC,TESS.X0000,0.8,9,23744,19004.2
SINGHE HOSPITALS PLC,SINH.N0000,2.4,11,7280,17632
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,68.5,6,255,17467.3
VIDULLANKA PLC,VLL.N0000,6.4,9,2626,16424.4
RAMBODA FALLS PLC,RFL.N0000,29,2,501,14279
HARISCHANDRA MILLS PLC,HARI.N0000,4449.75,2,3,13349.75
SEYLAN DEVELOPMENTS PLC,CSD.N0000,13.5,14,972,12862.7
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,58,5,217,12587
NATIONS TRUST BANK PLC,NTB.X0000,116,6,76,8811.5
DIALOG FINANCE PLC,CALF.N0000,61,8,143,8693.7
ASIA ASSET FINANCE PLC,AAF.P0000,12.5,5,710,8326
EXTERMINATORS PLC,EXT.N0000,8,12,1019,8174
LANKA VENTURES PLC,LVEN.N0000,39.2,5,202,7924
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,13.2,8,502,6618.7
ORIENT FINANCE PLC,BFN.N0000,7.5,4,838,6281
KEELLS FOOD PRODUCTS PLC,KFP.N0000,183,4,30,5490
ON'ALLY HOLDINGS PLC,ONAL.N0000,26.8,15,192,5167.4
TRANS ASIA HOTELS PLC,TRAN.N0000,48,2,100,4800
KOTMALE HOLDINGS PLC,LAMB.N0000,414.75,2,11,4562.25
TAL LANKA HOTELS PLC,TAJ.N0000,20.1,3,213,4294.3
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11.5,6,375,4225
MACKWOODS ENERGY PLC,MEL.N0000,2.1,6,2001,4052.4
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,29.9,3,100,2990
MAHAWELI REACH HOTELS PLC,MRH.N0000,14,7,211,2952.5
LAUGFS POWER PLC,LPL.X0000,7.1,5,400,2840
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,212,1,10,2120
C T LAND DEVELOPMENT PLC,CTLD.N0000,23.5,3,80,1880
SATHOSA MOTORS PLC,SMOT.N0000,197.75,2,7,1395.5
TANGERINE BEACH HOTELS PLC,TANG.N0000,58.9,2,20,1179
JOHN KEELLS PLC,JKL.N0000,72,2,14,968
LANKA CERAMIC PLC,CERA.N0000,105,1,5,525
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,59.6,2,8,476.8
ABANS ELECTRICALS PLC,ABAN.N0000,155,1,1,155
ALPHA FIRE SERVICES PLC,AFS.N0000,41,1,1,41
