Label,Year,Month,Close (Rs.),Loan Rate
CFIN.N0000,2019,6,85.0,8.5
CFLB.N0000,2019,6,13.2,8.5
CFVF.N0000,2019,6,27.8,8.5
CIC.N0000,2019,6,41.5,8.5
CIC.X0000,2019,6,27.1,8.5
CIND.N0000,2019,6,29.5,8.5
CINV.N0000,2019,6,35.0,8.5
CITW.N0000,2019,6,2.0,8.5
CLC.N0000,2019,6,2.8,8.5
COCR.N0000,2019,6,25.7,8.5
COF.U0000,2019,6,6.0,8.5
COMB.N0000,2019,6,92.2,8.5
COMB.X0000,2019,6,82.0,8.5
CTC.N0000,2019,6,1300.0,8.5
CTHR.N0000,2019,6,165.1,8.5
DFCC.N0000,2019,6,70.1,8.5
DIAL.N0000,2019,6,9.1,8.5
DIPD.N0000,2019,6,78.5,8.5
DIST.N0000,2019,6,15.1,8.5
DPL.N0000,2019,6,5.3,8.5
EAST.N0000,2019,6,6.8,8.5
ELPL.N0000,2019,6,18.2,8.5
EXPO.N0000,2019,6,5.0,8.5
GHLL.N0000,2019,6,5.9,8.5
GLAS.N0000,2019,6,3.6,8.5
GOOD.N0000,2019,6,736.0,8.5
GRAN.N0000,2019,6,49.2,8.5
GREG.N0000,2019,6,9.0,8.5
GSF.N0000,2019,6,16.5,8.5
HASU.N0000,2019,6,112.0,8.5
HAYC.N0000,2019,6,135.0,8.5
HAYL.N0000,2019,6,147.9,8.5
HHL.N0000,2019,6,67.1,8.5
HNB.N0000,2019,6,135.0,8.5
HNB.X0000,2019,6,127.6,8.5
IDL.N0000,2019,6,5.8,8.5
JINS.N0000,2019,6,26.5,8.5
JKH.N0000,2019,6,138.7,8.5
KGAL.N0000,2019,6,57.0,8.5
KOTA.N0000,2019,6,6.0,8.5
KZOO.N0000,2019,6,2.5,8.5
LDEV.N0000,2019,6,2.9,8.5
LFIN.N0000,2019,6,122.7,8.5
LIOC.N0000,2019,6,16.9,8.5
LION.N0000,2019,6,550.0,8.5
LLMP.N0000,2019,6,1.1,8.5
LLMP.X0000,2019,6,0.7,8.5
LLUB.N0000,2019,6,60.0,8.5
LMF.N0000,2019,6,90.1,8.5
LOFC.N0000,2019,6,3.7,8.5
LOLC.N0000,2019,6,90.0,8.5
LPRT.N0000,2019,6,145.0,8.5
LVEF.N0000,2019,6,7.5,8.5
LWL.N0000,2019,6,58.0,8.5
MELS.N0000,2019,6,40.0,8.5
MERC.N0000,2019,6,2600.0,8.5
MFL.N0000,2019,6,13.0,8.5
MGT.N0000,2019,6,8.4,8.5
MORI.N0000,2019,6,789.1,8.5
MORI.X0000,2019,6,561.0,8.5
NAVF.U0000,2019,6,80.0,8.5
